feedback_id,text,date,source,product,category,rating
FB00371,Disappointed with the build quality. Expected much better.,2025-08-14 16:27:19,Website Review,Bluetooth Speaker,User Experience,2
FB00422,Very unhappy with this purchase. Total disappointment.,2025-08-14 16:49:19,Mobile App,Wireless Headphones,Product Quality,1
FB00254,Love this product! It has made my life so much easier. The performance is particularly impressive.,2025-08-14 17:01:19,Twitter,Bluetooth Speaker,Product Quality,4
FB00431,Fair quality. It meets basic expectations but nothing more.,2025-08-14 20:32:19,Twitter,Bluetooth Speaker,User Experience,3
FB00054,Great value for money. The features are impressive and easy to use.,2025-08-14 22:53:19,Mobile App,Wireless Headphones,Delivery,5
FB00247,Really impressed with the durability and design. Worth every penny.,2025-08-14 23:45:19,Facebook,Laptop Pro 15,Delivery,4
FB00135,Best purchase I've made this year. Highly recommend to everyone!,2025-08-15 00:58:19,Email,Gaming Console,User Experience,5
FB00305,Terrible! It broke within the first month of use. The support is really disappointing.,2025-08-15 02:56:19,Website Review,Tablet Ultra,Delivery,2
FB00407,Poor design and functionality. Very frustrating to use.,2025-08-15 07:30:19,Twitter,Fitness Tracker,User Experience,1
FB00308,Waste of money. The product quality is subpar. The value is really disappointing.,2025-08-15 08:00:19,Twitter,Smartphone X1,Electronics,1
FB00019,Best purchase I've made this year. Highly recommend to everyone! The design is particularly impressive.,2025-08-15 12:25:19,Mobile App,Wireless Headphones,User Experience,5
FB00012,Exceptional value and quality. Highly recommended!,2025-08-15 13:07:19,Twitter,Wireless Headphones,Electronics,5
FB00127,Really impressed with the durability and design. Worth every penny.,2025-08-15 21:24:19,Facebook,Laptop Pro 15,Delivery,4
FB00157,Exceptional value and quality. Highly recommended!,2025-08-16 10:20:19,Mobile App,Gaming Console,Product Quality,5
FB00320,Disappointed with the build quality. Expected much better. The value is really disappointing.,2025-08-16 10:51:19,Mobile App,4K TV,Electronics,2
FB00085,Superb product! My whole family loves it. Thank you! The quality is particularly impressive.,2025-08-16 11:50:19,Website Review,Laptop Pro 15,Customer Service,5
FB00174,Phenomenal experience from start to finish. Will definitely buy again. The features is particularly impressive.,2025-08-16 19:59:19,Twitter,Smartphone X1,User Experience,4
FB00356,Product broke after just one week. Complete waste of money.,2025-08-17 03:19:19,Email,4K TV,Delivery,1
FB00306,The product is unreliable and customer support is terrible.,2025-08-17 07:13:19,Survey,Fitness Tracker,User Experience,2
FB00206,Phenomenal experience from start to finish. Will definitely buy again.,2025-08-17 19:15:19,Mobile App,Bluetooth Speaker,Electronics,4
FB00230,Fantastic! The user interface is intuitive and the performance is great.,2025-08-17 19:42:19,Facebook,Wireless Headphones,Electronics,5
FB00237,Best in class! This product is simply outstanding.,2025-08-17 20:52:19,Mobile App,Laptop Pro 15,Customer Service,5
FB00033,Phenomenal experience from start to finish. Will definitely buy again.,2025-08-18 02:43:19,Website Review,Smart Watch,Electronics,5
FB00107,Exceptional value and quality. Highly recommended! The design is particularly impressive.,2025-08-18 03:32:19,Email,4K TV,User Experience,5
FB00361,Unacceptable quality. The product feels like a cheap knockoff. The quality is really disappointing.,2025-08-18 09:25:19,Mobile App,Smartphone X1,Product Quality,1
FB00229,Best in class! This product is simply outstanding. The performance is particularly impressive.,2025-08-18 12:12:19,Email,4K TV,Electronics,5
FB00234,Incredible! This has transformed my daily routine completely. The features is particularly impressive.,2025-08-19 02:16:19,Website Review,Smart Watch,User Experience,4
FB00190,Brilliant purchase. The attention to detail is remarkable. The design is particularly impressive.,2025-08-19 05:23:19,Twitter,Gaming Console,Product Quality,4
FB00046,Absolutely delighted with this product. Exceeded all my expectations.,2025-08-19 06:00:19,Survey,Smart Watch,Electronics,4
